# mp_msun mc_msun inclination_deg
1.3325913553e+00 1.3459109993e+00 7.7068037872e+01
1.3331650073e+00 1.3453406825e+00 7.7174454945e+01
1.3325279867e+00 1.3459777030e+00 7.7055884606e+01
1.3327314331e+00 1.3457742567e+00 7.7093624049e+01
1.3328981924e+00 1.3456008270e+00 7.7125474098e+01
1.3325413275e+00 1.3459576919e+00 7.7059177396e+01
1.3330582813e+00 1.3454440732e+00 7.7154921154e+01
1.3331716777e+00 1.3453340121e+00 7.7175702818e+01
1.3325680090e+00 1.3459343456e+00 7.7063710342e+01
1.3327747905e+00 1.3457275641e+00 7.7102094787e+01
1.3328148127e+00 1.3456875418e+00 7.7109538377e+01
1.3326180368e+00 1.3458809826e+00 7.7073396925e+01
1.3326747349e+00 1.3458376252e+00 7.7082271030e+01
1.3327547794e+00 1.3457509104e+00 7.7097962477e+01
1.3327180923e+00 1.3457809270e+00 7.7091969717e+01
1.3326847405e+00 1.3458209493e+00 7.7084951943e+01
1.3323445515e+00 1.3461544679e+00 7.7022778631e+01
1.3329915776e+00 1.3455174473e+00 7.7141642562e+01
1.3331816832e+00 1.3453206713e+00 7.7177989984e+01
1.3325580034e+00 1.3459410160e+00 7.7062267153e+01
1.3327814609e+00 1.3457242289e+00 7.7102922621e+01
1.3325446627e+00 1.3459610271e+00 7.7058973504e+01
1.3325113108e+00 1.3459943790e+00 7.7052796509e+01
1.3328981924e+00 1.3456074974e+00 7.7124647654e+01
1.3331149795e+00 1.3453873751e+00 7.7165514758e+01
1.3326213719e+00 1.3458743122e+00 7.7074426966e+01
1.3327481090e+00 1.3457542455e+00 7.7097134984e+01
1.3323845737e+00 1.3461177808e+00 7.7029762922e+01
1.3323912441e+00 1.3461111105e+00 7.7030995681e+01
1.3329015276e+00 1.3455974918e+00 7.7126095442e+01
1.3331449962e+00 1.3453573584e+00 7.7171126981e+01
1.3330516110e+00 1.3454507436e+00 7.7153675471e+01
1.3325713441e+00 1.3459343456e+00 7.7063917408e+01
1.3328514998e+00 1.3456541900e+00 7.7115952867e+01
1.3330416054e+00 1.3454540788e+00 7.7152635578e+01
1.3327814609e+00 1.3457175585e+00 7.7103747516e+01
1.3324712886e+00 1.3460277308e+00 7.7046209160e+01
1.3326880757e+00 1.3458209493e+00 7.7085159361e+01
1.3330049184e+00 1.3454907658e+00 7.7145787254e+01
1.3327280979e+00 1.3457775918e+00 7.7093004403e+01
1.3327347683e+00 1.3457675863e+00 7.7094655859e+01
1.3325413275e+00 1.3459643623e+00 7.7058355660e+01
1.3325813497e+00 1.3459176697e+00 7.7066594161e+01
1.3323078644e+00 1.3461911549e+00 7.7016004688e+01
1.3325980256e+00 1.3459043289e+00 7.7069274597e+01
1.3327381035e+00 1.3457609159e+00 7.7095687761e+01
1.3327581146e+00 1.3457409048e+00 7.7099406968e+01
1.3328648405e+00 1.3456408492e+00 7.7118436442e+01
1.3325646738e+00 1.3459343456e+00 7.7063503281e+01
1.3329448850e+00 1.3455541344e+00 7.7134175887e+01
1.3330449406e+00 1.3454574140e+00 7.7152429919e+01
