# mp_msun mc_msun inclination_deg
1.3662757804e+00 1.3465555919e+00 5.0522521510e+01
1.3532699536e+00 1.3595610443e+00 4.9861711623e+01
1.3629487084e+00 1.3498825681e+00 5.0351386932e+01
1.3624950168e+00 1.3502606335e+00 5.0330748247e+01
1.3593191754e+00 1.3534363835e+00 5.0168910423e+01
1.3831379861e+00 1.3295426454e+00 5.1418563633e+01
1.3544797979e+00 1.3583512348e+00 4.9922268390e+01
1.3656708582e+00 1.3471604966e+00 5.0491297105e+01
1.3547066438e+00 1.3578975562e+00 4.9941225650e+01
1.3718713106e+00 1.3410358359e+00 5.0811021102e+01
1.3606046350e+00 1.3521509609e+00 5.0234258476e+01
1.3451035042e+00 1.3675004193e+00 4.9465073134e+01
1.3395835893e+00 1.3730957884e+00 4.9194025979e+01
1.3562945645e+00 1.3565365205e+00 5.0013449493e+01
1.3683930080e+00 1.3445140383e+00 5.0629562234e+01
1.3672587789e+00 1.3454213954e+00 5.0578608286e+01
1.3619657099e+00 1.3508655383e+00 5.0301103287e+01
1.3581849463e+00 1.3545705800e+00 5.0111427299e+01
1.3634780153e+00 1.3492776633e+00 5.0381107498e+01
1.3558408728e+00 1.3569145859e+00 4.9993150481e+01
1.3601509434e+00 1.3524534133e+00 5.0216305762e+01
1.3575800241e+00 1.3552510978e+00 5.0078288996e+01
1.3551603354e+00 1.3575951038e+00 4.9958942874e+01
1.3564457950e+00 1.3563096812e+00 5.0023606529e+01
1.3540261063e+00 1.3588049133e+00 4.9899538058e+01
1.3611339419e+00 1.3515460562e+00 5.0263803729e+01
1.3438936598e+00 1.3688614550e+00 4.9400983240e+01
1.3587142532e+00 1.3541169014e+00 5.0135675648e+01
1.3649903208e+00 1.3477654014e+00 5.0458831607e+01
1.3522869550e+00 1.3604684014e+00 4.9815153787e+01
1.3569751019e+00 1.3557803895e+00 5.0050293732e+01
1.3584874074e+00 1.3542681276e+00 5.0126739969e+01
1.3606802503e+00 1.3519997347e+00 5.0240680751e+01
1.3432887376e+00 1.3695419729e+00 4.9369017334e+01
1.3643097833e+00 1.3486727585e+00 5.0416023729e+01
1.3646122444e+00 1.3482190800e+00 5.0436771308e+01
1.3628730932e+00 1.3498069550e+00 5.0352690331e+01
1.3629487084e+00 1.3497313419e+00 5.0356563941e+01
1.3649903208e+00 1.3476897883e+00 5.0461435876e+01
1.3664270110e+00 1.3463287526e+00 5.0532950108e+01
1.3550847201e+00 1.3575951038e+00 4.9957675861e+01
1.3517576481e+00 1.3609976931e+00 4.9788779011e+01
1.3429862765e+00 1.3697688122e+00 4.9356719927e+01
1.3671075484e+00 1.3455726216e+00 5.0570775426e+01
1.3578824852e+00 1.3548730324e+00 5.0096126357e+01
1.3609827113e+00 1.3516972824e+00 5.0256093098e+01
1.3481281151e+00 1.3646271217e+00 4.9608857519e+01
1.3742909993e+00 1.3383137645e+00 5.0948936601e+01
1.3468426554e+00 1.3657613181e+00 4.9550465832e+01
1.3652927819e+00 1.3475385621e+00 5.0471806552e+01
1.3756520742e+00 1.3371039549e+00 5.1015514153e+01
1.3617388641e+00 1.3508655383e+00 5.0297256007e+01
1.3645366291e+00 1.3480678538e+00 5.0440684683e+01
1.3710395426e+00 1.3417919668e+00 5.0770129509e+01
1.3714932342e+00 1.3412626752e+00 5.0796525984e+01
1.3630999390e+00 1.3497313419e+00 5.0359134109e+01
1.3489598831e+00 1.3637197645e+00 4.9652432413e+01
1.3668807026e+00 1.3458750740e+00 5.0556413066e+01
1.3623437862e+00 1.3503362466e+00 5.0325596045e+01
1.3603777892e+00 1.3525290264e+00 5.0217573483e+01
1.3602265586e+00 1.3526046395e+00 5.0212448473e+01
1.3530431078e+00 1.3597122705e+00 4.9852892652e+01
1.3578068699e+00 1.3549486455e+00 5.0092302952e+01
1.3470695013e+00 1.3656857050e+00 4.9556685065e+01
1.3682417775e+00 1.3445896514e+00 5.0624338371e+01
1.3586386379e+00 1.3539656752e+00 5.0139513874e+01
1.3627218626e+00 1.3499581812e+00 5.0344945361e+01
1.3558408728e+00 1.3569145859e+00 4.9993150481e+01
1.3601509434e+00 1.3524534133e+00 5.0216305762e+01
1.3509258801e+00 1.3619806633e+00 4.9742404167e+01
1.3582605615e+00 1.3545705800e+00 5.0112701202e+01
1.3420032780e+00 1.3707517824e+00 4.9308878947e+01
1.3538748758e+00 1.3589561395e+00 4.9891967031e+01
