# mp_msun mc_msun inclination_deg
1.3583305929e+00 2.2419312757e-01 8.8869926636e+01
1.3830713154e+00 2.2677098641e-01 8.8806251563e+01
1.3325142472e+00 2.2148637578e-01 8.8933600313e+01
1.3361231223e+00 2.2187305461e-01 8.8838089279e+01
1.3799910154e+00 2.2644875405e-01 8.8838089279e+01
1.3553168116e+00 2.2387089521e-01 8.8965436653e+01
1.3067210675e+00 2.1877962400e-01 8.8806251563e+01
1.3780999597e+00 2.2625541464e-01 8.8806251563e+01
1.4187282115e+00 2.3044443525e-01 8.8869926636e+01
1.3633278451e+00 2.2470869933e-01 8.8933600313e+01
1.3104067227e+00 2.1916630283e-01 8.8838089279e+01
1.3429632810e+00 2.2258196579e-01 8.8933600313e+01
1.3527469940e+00 2.2361310933e-01 8.8838089279e+01
1.3776557535e+00 2.2619096817e-01 8.9029108384e+01
1.3417325050e+00 2.2245307285e-01 8.8933600313e+01
1.3227059121e+00 2.2045523225e-01 8.8933600313e+01
1.3619583168e+00 2.2457980639e-01 8.8774413478e+01
1.3471708267e+00 2.2303309109e-01 8.8806251563e+01
1.4037257103e+00 2.2889771995e-01 8.8901763644e+01
1.3232166625e+00 2.2051967872e-01 8.8806251563e+01
1.3466332551e+00 2.2296864462e-01 8.8901763644e+01
1.3417795915e+00 2.2245307285e-01 8.8997272673e+01
1.3551610328e+00 2.2387089521e-01 8.8774413478e+01
1.3975778997e+00 2.2825325524e-01 8.9029108384e+01
1.3196459972e+00 2.2013299989e-01 8.8933600313e+01
1.3688228315e+00 2.2528871757e-01 8.8838089279e+01
1.3324897776e+00 2.2148637578e-01 8.8901763644e+01
1.4074777847e+00 2.2928439878e-01 8.8901763644e+01
1.4093285664e+00 2.2947773819e-01 8.8869926636e+01
1.3391137618e+00 2.2219528697e-01 8.8742575015e+01
1.3356537762e+00 2.2180860814e-01 8.9029108384e+01
1.2976639050e+00 2.1781292694e-01 8.8901763644e+01
1.4369625369e+00 2.3231338291e-01 8.8869926636e+01
1.3392475475e+00 2.2219528697e-01 8.8901763644e+01
1.3671127558e+00 2.2509537816e-01 8.9029108384e+01
1.3380663839e+00 2.2206639402e-01 8.8965436653e+01
1.4100319815e+00 2.2954218466e-01 8.8965436653e+01
1.3632506215e+00 2.2470869933e-01 8.8838089279e+01
1.4112591890e+00 2.2967107760e-01 8.8933600313e+01
1.2319923471e+00 2.1078826160e-01 8.8933600313e+01
1.4263165688e+00 2.3121779291e-01 8.8933600313e+01
1.3177620961e+00 2.1993966048e-01 8.8869926636e+01
1.3831257455e+00 2.2677098641e-01 8.8869926636e+01
1.3540579690e+00 2.2374200227e-01 8.8933600313e+01
1.3074770462e+00 2.1884407047e-01 8.8997272673e+01
1.3825039614e+00 2.2670653994e-01 8.8869926636e+01
1.3263810737e+00 2.2084191107e-01 8.8933600313e+01
1.3479819928e+00 2.2309753756e-01 8.9060943795e+01
1.3602596527e+00 2.2438646698e-01 8.8965436653e+01
1.4444747755e+00 2.3308674057e-01 8.8806251563e+01
1.3987283806e+00 2.2838214818e-01 8.8901763644e+01
1.3682807950e+00 2.2522427110e-01 8.8933600313e+01
1.3387042727e+00 2.2213084049e-01 8.8997272673e+01
1.3239770648e+00 2.2058412519e-01 8.8997272673e+01
1.3689247183e+00 2.2528871757e-01 8.8965436653e+01
1.3639944461e+00 2.2477314581e-01 8.8997272673e+01
1.3361988888e+00 2.2187305461e-01 8.8933600313e+01
1.3276757673e+00 2.2097080402e-01 8.9029108384e+01
1.4186136397e+00 2.3044443525e-01 8.8742575015e+01
1.3669910923e+00 2.2509537816e-01 8.8869926636e+01
1.3695680216e+00 2.2535316404e-01 8.8997272673e+01
1.2995127048e+00 2.1800626635e-01 8.8933600313e+01
1.3479376122e+00 2.2309753756e-01 8.8997272673e+01
1.4081542797e+00 2.2934884525e-01 8.8965436653e+01
1.4300365126e+00 2.3160447173e-01 8.8869926636e+01
1.3288087525e+00 2.2109969696e-01 8.8901763644e+01
1.4357556923e+00 2.3218448997e-01 8.8933600313e+01
1.3184690351e+00 2.2000410695e-01 8.8997272673e+01
1.3707840144e+00 2.2548205699e-01 8.8965436653e+01
1.4024757952e+00 2.2876882701e-01 8.8901763644e+01
1.3775844505e+00 2.2619096817e-01 8.8933600313e+01
1.3386572885e+00 2.2213084049e-01 8.8933600313e+01
1.3738603492e+00 2.2580428934e-01 8.8933600313e+01
1.2994389103e+00 2.1800626635e-01 8.8838089279e+01
1.3276535349e+00 2.2097080402e-01 8.8997272673e+01
1.4081034700e+00 2.2934884525e-01 8.8901763644e+01
1.3850178126e+00 2.2696432582e-01 8.8901763644e+01
1.3744296483e+00 2.2586873581e-01 8.8869926636e+01
1.3820275431e+00 2.2664209346e-01 8.9060943795e+01
1.4238529505e+00 2.3096000702e-01 8.8997272673e+01
1.3943863639e+00 2.2793102288e-01 8.8933600313e+01
1.3571696413e+00 2.2406423462e-01 8.8965436653e+01
1.4275477424e+00 2.3134668585e-01 8.8901763644e+01
1.3379399413e+00 2.2206639402e-01 8.8806251563e+01
1.3752162530e+00 2.2593318228e-01 8.9092778916e+01
1.2988305315e+00 2.1794181988e-01 8.8838089279e+01
1.3307199771e+00 2.2129303637e-01 8.8997272673e+01
1.3974800196e+00 2.2825325524e-01 8.8901763644e+01
1.3898294706e+00 2.2747989759e-01 8.8710736164e+01
1.3806123979e+00 2.2651320052e-01 8.8838089279e+01
1.2977333894e+00 2.1781292694e-01 8.8997272673e+01
1.4206635223e+00 2.3063777467e-01 8.8933600313e+01
1.3447070921e+00 2.2277530520e-01 8.8806251563e+01
1.3301287624e+00 2.2122858990e-01 8.9029108384e+01
1.3269695730e+00 2.2090635755e-01 8.8901763644e+01
1.3876043558e+00 2.2722211170e-01 8.9029108384e+01
1.3436259645e+00 2.2264641226e-01 8.8997272673e+01
1.3596172469e+00 2.2432202051e-01 8.8933600313e+01
1.3516138028e+00 2.2348421639e-01 8.8965436653e+01
1.4024757952e+00 2.2876882701e-01 8.8901763644e+01
1.3724865246e+00 2.2567539640e-01 8.8774413478e+01
1.3949581562e+00 2.2799546936e-01 8.8869926636e+01
1.3707596189e+00 2.2548205699e-01 8.8933600313e+01
1.3399782355e+00 2.2225973344e-01 8.9060943795e+01
1.3937372700e+00 2.2786657641e-01 8.8901763644e+01
1.3368602637e+00 2.2193750108e-01 8.8997272673e+01
1.3251556244e+00 2.2071301813e-01 8.8933600313e+01
1.2897663390e+00 2.1697512281e-01 8.8901763644e+01
1.3325379971e+00 2.2148637578e-01 8.8965436653e+01
1.2745515685e+00 2.1536396104e-01 8.8806251563e+01
1.3147787310e+00 2.1961742813e-01 8.8965436653e+01
1.3757701766e+00 2.2599762875e-01 8.8997272673e+01
1.3233417864e+00 2.2051967872e-01 8.8965436653e+01
1.3602354349e+00 2.2438646698e-01 8.8933600313e+01
1.4220155175e+00 2.3076666761e-01 8.9060943795e+01
1.3862092292e+00 2.2709321876e-01 8.8838089279e+01
1.3238289967e+00 2.2058412519e-01 8.8806251563e+01
1.3251062251e+00 2.2071301813e-01 8.8869926636e+01
1.2855673882e+00 2.1652399752e-01 8.8965436653e+01
1.4067983981e+00 2.2921995230e-01 8.8838089279e+01
1.3694690461e+00 2.2535316404e-01 8.8869926636e+01
1.3539812432e+00 2.2374200227e-01 8.8838089279e+01
1.4031264014e+00 2.2883327348e-01 8.8933600313e+01
1.2819321050e+00 2.1613731869e-01 8.8965436653e+01
1.3435541545e+00 2.2264641226e-01 8.8901763644e+01
1.2494194259e+00 2.1265720926e-01 8.9029108384e+01
1.3380895045e+00 2.2206639402e-01 8.8997272673e+01
1.4106823841e+00 2.2960663113e-01 8.8997272673e+01
1.3882269722e+00 2.2728655817e-01 8.9029108384e+01
1.2946243878e+00 2.1749069458e-01 8.8901763644e+01
1.3676856768e+00 2.2515982463e-01 8.8965436653e+01
1.4401417000e+00 2.3263561527e-01 8.8901763644e+01
1.4169243490e+00 2.3025109584e-01 8.8965436653e+01
1.3404261253e+00 2.2232417991e-01 8.8838089279e+01
1.3515649294e+00 2.2348421639e-01 8.8901763644e+01
1.3931138189e+00 2.2780212994e-01 8.8901763644e+01
1.4571771942e+00 2.3437566999e-01 8.8869926636e+01
1.3677321497e+00 2.2515982463e-01 8.9029108384e+01
1.3577383625e+00 2.2412868110e-01 8.8901763644e+01
1.3412085000e+00 2.2238862638e-01 8.9060943795e+01
1.3020564713e+00 2.1826405223e-01 8.9092778916e+01
1.4199556230e+00 2.3057332820e-01 8.8838089279e+01
1.3410926454e+00 2.2238862638e-01 8.8901763644e+01
1.4274355709e+00 2.3134668585e-01 8.8774413478e+01
1.3521818309e+00 2.2354866286e-01 8.8901763644e+01
1.3607766302e+00 2.2445091345e-01 8.8838089279e+01
1.4187282115e+00 2.3044443525e-01 8.8869926636e+01
1.4087800834e+00 2.2941329172e-01 8.8965436653e+01
1.2988804086e+00 2.1794181988e-01 8.8901763644e+01
1.3974265612e+00 2.2825325524e-01 8.8838089279e+01
1.3398111150e+00 2.2225973344e-01 8.8838089279e+01
1.3209595960e+00 2.2026189284e-01 8.9060943795e+01
1.3545985151e+00 2.2380644874e-01 8.8838089279e+01
1.3751013255e+00 2.2593318228e-01 8.8933600313e+01
1.4231489757e+00 2.3089556055e-01 8.8901763644e+01
1.2814305927e+00 2.1607287222e-01 8.9124613757e+01
1.2946243878e+00 2.1749069458e-01 8.8901763644e+01
1.2971028065e+00 2.1774848047e-01 8.8965436653e+01
1.3331036272e+00 2.2155082226e-01 8.8901763644e+01
1.3435026537e+00 2.2264641226e-01 8.8838089279e+01
1.4225722700e+00 2.3083111408e-01 8.8965436653e+01
1.3472239165e+00 2.2303309109e-01 8.8869926636e+01
1.3695200113e+00 2.2535316404e-01 8.8933600313e+01
1.3428871511e+00 2.2258196579e-01 8.8838089279e+01
1.2994389103e+00 2.1800626635e-01 8.8838089279e+01
1.3868315867e+00 2.2715766523e-01 8.8838089279e+01
1.3478903210e+00 2.2309753756e-01 8.8933600313e+01
1.2769952553e+00 2.1562174692e-01 8.8838089279e+01
1.3492148158e+00 2.2322643050e-01 8.9060943795e+01
1.3135797412e+00 2.1948853518e-01 8.8997272673e+01
1.3399992156e+00 2.2225973344e-01 8.9092778916e+01
1.3483756240e+00 2.2316198403e-01 8.8774413478e+01
1.4691977242e+00 2.3560015293e-01 8.8838089279e+01
1.3018734202e+00 2.1826405223e-01 8.8838089279e+01
