# mp_msun mc_msun inclination_deg
1.5985823414e+00 3.9133544782e-01 4.5185415641e+01
1.7154646032e+00 2.7807174324e-01 8.8279794948e+01
1.5073886736e+00 4.8534335956e-01 3.4926555435e+01
1.6505188654e+00 3.4150948249e-01 5.4435932537e+01
1.7009064203e+00 2.9283102131e-01 7.1665064928e+01
1.5142269703e+00 4.7870613106e-01 3.5485929823e+01
1.6823460245e+00 3.0425667952e-01 6.5700476401e+01
1.7096858433e+00 2.8374995806e-01 7.8382584668e+01
1.6959183793e+00 2.8155227762e-01 7.9076788023e+01
1.6652665221e+00 3.3611754523e-01 5.6006497961e+01
1.6908928947e+00 2.9812059765e-01 6.8578391121e+01
1.6071248076e+00 3.7998006366e-01 4.6878200084e+01
1.7001065528e+00 2.8760097490e-01 7.4697526941e+01
1.7127241534e+00 2.7890212585e-01 8.4833160038e+01
1.6390579002e+00 3.5437790116e-01 5.1655590317e+01
1.6915778022e+00 2.9371946519e-01 7.0680751784e+01
1.6456655730e+00 3.3983251217e-01 5.4655875461e+01
1.5423664374e+00 4.5499187384e-01 3.7709824906e+01
1.6442432797e+00 3.4306247024e-01 5.3949915626e+01
1.6770127238e+00 3.1129752124e-01 6.3037455857e+01
1.7096238879e+00 2.8532026693e-01 7.7062402444e+01
1.7037243570e+00 2.7775865900e-01 8.5300712099e+01
1.6594859818e+00 3.2932657429e-01 5.7421066220e+01
1.7059018297e+00 2.8411644542e-01 7.7723321034e+01
1.5889688910e+00 4.0597526379e-01 4.3232548432e+01
1.6915909505e+00 3.0325263553e-01 6.6484385487e+01
1.6827469114e+00 3.1159385636e-01 6.3157997622e+01
1.6996196500e+00 2.9019765499e-01 7.3056301529e+01
1.6146006206e+00 3.7762877179e-01 4.7367170143e+01
1.7173510588e+00 2.8091281196e-01 8.2308827032e+01
1.5372496183e+00 4.5407512718e-01 3.7709824906e+01
1.7097367036e+00 2.7756904634e-01 8.7813703971e+01
1.7096423147e+00 2.8117990832e-01 8.0968761078e+01
1.7177811116e+00 2.7887297016e-01 8.6127171658e+01
1.5921970069e+00 4.0244544679e-01 4.3701328872e+01
1.6077361770e+00 3.8399061690e-01 4.6335777581e+01
1.6984722571e+00 2.8391391324e-01 7.7246162732e+01
1.6937559184e+00 3.0299876243e-01 6.6679628908e+01
1.6813752781e+00 3.1155782326e-01 6.3117831325e+01
1.6912238277e+00 2.9256752205e-01 7.1249327158e+01
1.7110270045e+00 2.7939323106e-01 8.3608617564e+01
1.7156252235e+00 2.7811221813e-01 8.8136395900e+01
1.5017673169e+00 4.9166848441e-01 3.4422686590e+01
1.6980876589e+00 3.0007558737e-01 6.8077137992e+01
1.7045116751e+00 2.9184061932e-01 7.2418416778e+01
1.7135066895e+00 2.7962748674e-01 8.3644672619e+01
1.7049927293e+00 2.8492505987e-01 7.6988860514e+01
1.7092737351e+00 2.8054356994e-01 8.1693691768e+01
1.6841368126e+00 3.0899736370e-01 6.4077960570e+01
1.7092266386e+00 2.7767736072e-01 8.7132225030e+01
1.7147106985e+00 2.8053517264e-01 8.2453432544e+01
1.7124739007e+00 2.7915237849e-01 8.4293245825e+01
1.6791612120e+00 3.0593524432e-01 6.4951252765e+01
1.6910769693e+00 3.0105190002e-01 6.7341335208e+01
1.6756095954e+00 3.2034033967e-01 6.0268611194e+01
1.6231489941e+00 3.6767322896e-01 4.9049332071e+01
1.6939674066e+00 2.8260084316e-01 7.7943254530e+01
1.7047964627e+00 2.7819188677e-01 8.4617252264e+01
1.7005923703e+00 2.9043085661e-01 7.2981370134e+01
1.7009156817e+00 2.8970554424e-01 7.3430514123e+01
1.6343462681e+00 3.5657645605e-01 5.1151269716e+01
1.7158633077e+00 2.7807523588e-01 8.8530717888e+01
1.6927493976e+00 3.0672209866e-01 6.5227807235e+01
1.7124960240e+00 2.7963284537e-01 8.3464371779e+01
1.7000183169e+00 2.8899517542e-01 7.3804000921e+01
1.7070879450e+00 2.7841014012e-01 8.4653242133e+01
1.6988134840e+00 2.8166618808e-01 7.9259199334e+01
1.7108448291e+00 2.7937442283e-01 8.3608617564e+01
1.7121189626e+00 2.7759785993e-01 8.9605842454e+01
1.7179348610e+00 2.8113406642e-01 8.2091826014e+01
1.7058972479e+00 2.8351813724e-01 7.8236219556e+01
1.7019139935e+00 2.8981280038e-01 7.3430514123e+01
1.7123737732e+00 2.7955405502e-01 8.3572559967e+01
1.6892405926e+00 3.0610585401e-01 6.5306709443e+01
1.7142793206e+00 2.7784954876e-01 8.9104157962e+01
1.7102311994e+00 2.7888276357e-01 8.4365262713e+01
1.6793159182e+00 3.0226744153e-01 6.6327982166e+01
1.6923311050e+00 2.9979776433e-01 6.7922552593e+01
1.7111764565e+00 2.7894230618e-01 8.4437270670e+01
1.6838056468e+00 3.0581069491e-01 6.5188337331e+01
1.6547976978e+00 3.3813540352e-01 5.5268564312e+01
1.6774643042e+00 3.2613508051e-01 5.8771761810e+01
1.6750047506e+00 3.1360687604e-01 6.2230497257e+01
1.7068222797e+00 2.8470348658e-01 7.7319629400e+01
1.7044202585e+00 2.8680397911e-01 7.5550256391e+01
1.6344918801e+00 3.6628815160e-01 4.9522071736e+01
1.7068008686e+00 2.8894789685e-01 7.4288481521e+01
1.5185217858e+00 4.7360708356e-01 3.5915755516e+01
1.7030813056e+00 2.7729804143e-01 8.6306724078e+01
1.6959152257e+00 2.8807689105e-01 7.4102281226e+01
1.6839299896e+00 3.0006212719e-01 6.7418971684e+01
1.5035757092e+00 4.9297777509e-01 3.4359248415e+01
1.7074846397e+00 2.8303609016e-01 7.8821223321e+01
1.6703334959e+00 3.3014454072e-01 5.7548545405e+01
1.6916612245e+00 3.0036712338e-01 6.7651619627e+01
1.7136806676e+00 2.7975513370e-01 8.3464371779e+01
1.7035663824e+00 2.8012458642e-01 8.1476358526e+01
1.7189407172e+00 2.7952440763e-01 8.4869137432e+01
1.7133035717e+00 2.8284753964e-01 7.9587263628e+01
1.6957429740e+00 2.9387336764e-01 7.0832562800e+01
1.7102531317e+00 2.7906177772e-01 8.4041114703e+01
1.7164042208e+00 2.7994807367e-01 8.3608617564e+01
1.6014263277e+00 3.8788858173e-01 4.5688341270e+01
1.6271124847e+00 3.6732884334e-01 4.9191507146e+01
1.7066154554e+00 2.7777821571e-01 8.5983502375e+01
1.6616370051e+00 3.3210043651e-01 5.6823740492e+01
1.7022572433e+00 2.8595254462e-01 7.5993851132e+01
1.6685753440e+00 3.2586598411e-01 5.8562010081e+01
1.6880678973e+00 3.0295532964e-01 6.6445302124e+01
1.6665322477e+00 3.2258171534e-01 5.9356613960e+01
1.6748460802e+00 3.1055159519e-01 6.3198149675e+01
1.6717878292e+00 3.2416210586e-01 5.9106400791e+01
1.6887683185e+00 3.0637697884e-01 6.5188337331e+01
1.7104772368e+00 2.8607624744e-01 7.6547145808e+01
1.6458204981e+00 3.4048092589e-01 5.4523981885e+01
1.7118444935e+00 2.8199349827e-01 8.0315077981e+01
1.6301660639e+00 3.5975172529e-01 5.0504183478e+01
1.6735990125e+00 3.1893195930e-01 6.0598185656e+01
1.6929577169e+00 2.9394628240e-01 7.0642777033e+01
1.6821100549e+00 3.0911418268e-01 6.3958378041e+01
1.7125019494e+00 2.7781779345e-01 8.7992985175e+01
1.6555289873e+00 3.3318310325e-01 5.6394578118e+01
1.7134163843e+00 2.7820989496e-01 8.6773394876e+01
1.6946094819e+00 2.9420307421e-01 7.0604793438e+01
1.6951204671e+00 2.9479732208e-01 7.0338658701e+01
1.7021804871e+00 2.9125531425e-01 7.2606259752e+01
1.7121189626e+00 2.7759785993e-01 8.9605842454e+01
1.7038898535e+00 2.9638686156e-01 7.0033962518e+01
