# mp_msun mc_msun inclination_deg
1.3672503379e+00 1.2040856874e+00 8.5870209970e+01
1.3671014149e+00 1.2046709029e+00 8.5584314557e+01
1.3679863934e+00 1.2047883114e+00 8.5706459126e+01
1.3678637975e+00 1.2050170500e+00 8.5584314557e+01
1.3668733787e+00 1.2045923526e+00 8.5573737444e+01
1.3687287253e+00 1.2050720869e+00 8.5729663877e+01
1.3677876293e+00 1.2047512080e+00 8.5683378882e+01
1.3672840047e+00 1.2045944420e+00 8.5652347320e+01
1.3667846626e+00 1.2047989851e+00 8.5470611895e+01
1.3672852083e+00 1.2048762560e+00 8.5532987212e+01
1.3677136138e+00 1.2042709633e+00 8.5881546958e+01
1.3675244436e+00 1.2040945794e+00 8.5922907337e+01
1.3669791607e+00 1.2044747790e+00 8.5644288420e+01
1.3680220987e+00 1.2049295114e+00 8.5652347320e+01
1.3681619293e+00 1.2043651148e+00 8.5931517063e+01
1.3662852741e+00 1.2043315120e+00 8.5571097105e+01
1.3666612438e+00 1.2043210489e+00 8.5648316008e+01
1.3674170031e+00 1.2044142750e+00 8.5757125758e+01
1.3680676735e+00 1.2044004050e+00 8.5895762154e+01
1.3679847828e+00 1.2050375906e+00 8.5598899511e+01
1.3668094650e+00 1.2041728277e+00 8.5741999846e+01
1.3670315318e+00 1.2042455369e+00 8.5754371592e+01
1.3671010103e+00 1.2036808411e+00 8.6025982511e+01
1.3679682306e+00 1.2048300613e+00 8.5684733132e+01
1.3672849387e+00 1.2038860093e+00 8.5969038015e+01
1.3670165882e+00 1.2045198928e+00 8.5632227895e+01
1.3677320663e+00 1.2050072579e+00 8.5563185496e+01
1.3669431178e+00 1.2044990304e+00 8.5626878318e+01
1.3671572077e+00 1.2047212390e+00 8.5573737444e+01
1.3677314739e+00 1.2051257862e+00 8.5513401962e+01
1.3674773247e+00 1.2045072524e+00 8.5728295409e+01
1.3669360460e+00 1.2043646053e+00 8.5683378882e+01
1.3674608873e+00 1.2044529360e+00 8.5748868601e+01
1.3673160264e+00 1.2045152517e+00 8.5692867561e+01
1.3668254112e+00 1.2046049455e+00 8.5559234967e+01
1.3681558159e+00 1.2051496170e+00 8.5584314557e+01
1.3678671209e+00 1.2050373140e+00 8.5576379356e+01
1.3667357261e+00 1.2045767165e+00 8.5553973045e+01
1.3677546256e+00 1.2048549712e+00 8.5632227895e+01
1.3678712973e+00 1.2044080941e+00 8.5851853333e+01
1.3672791429e+00 1.2047172266e+00 8.5598899511e+01
1.3671017745e+00 1.2045054567e+00 8.5655036935e+01
1.3674887450e+00 1.2048967823e+00 8.5563185496e+01
1.3670940980e+00 1.2040178948e+00 8.5868795030e+01
1.3669346188e+00 1.2049202436e+00 8.5448725206e+01
1.3669041876e+00 1.2041252685e+00 8.5781994036e+01
1.3670750386e+00 1.2048152002e+00 8.5518616343e+01
1.3677332389e+00 1.2050296724e+00 8.5553973045e+01
1.3669969005e+00 1.2051173935e+00 8.5379889043e+01
1.3675369355e+00 1.2053439120e+00 8.5387486883e+01
1.3674252298e+00 1.2049367116e+00 8.5534295943e+01
1.3673842952e+00 1.2044587750e+00 8.5731032784e+01
1.3675305935e+00 1.2043596454e+00 8.5804222683e+01
1.3669800815e+00 1.2036602852e+00 8.6009839094e+01
1.3666640854e+00 1.2043535798e+00 8.5634905138e+01
1.3673602298e+00 1.2043885040e+00 8.5757125758e+01
1.3672050534e+00 1.2045554724e+00 8.5653691920e+01
1.3678994790e+00 1.2041086828e+00 8.5995219639e+01
1.3674985352e+00 1.2053233440e+00 8.5388754404e+01
1.3674012142e+00 1.2045008169e+00 8.5715998830e+01
1.3677862050e+00 1.2050474678e+00 8.5556603229e+01
1.3671011561e+00 1.2051428569e+00 8.5388754404e+01
1.3674692980e+00 1.2042912277e+00 8.5822370392e+01
1.3671717096e+00 1.2044591052e+00 8.5688798432e+01
1.3670552166e+00 1.2040096123e+00 8.5864553110e+01
1.3673145192e+00 1.2039743408e+00 8.5934391017e+01
1.3674944558e+00 1.2045962531e+00 8.5692867561e+01
1.3680080247e+00 1.2049199978e+00 8.5653691920e+01
1.3672715968e+00 1.2045950577e+00 8.5649659364e+01
1.3677956679e+00 1.2048611023e+00 8.5637584020e+01
1.3680752816e+00 1.2045225219e+00 8.5842002498e+01
1.3674773986e+00 1.2047666145e+00 8.5616198710e+01
1.3680542421e+00 1.2046379083e+00 8.5786152992e+01
1.3673163065e+00 1.2052343240e+00 8.5391290490e+01
1.3671007852e+00 1.2039522527e+00 8.5900036308e+01
1.3667556560e+00 1.2046982837e+00 8.5506892478e+01
1.3675775595e+00 1.2051027974e+00 8.5493901663e+01
1.3683220653e+00 1.2052782324e+00 8.5561868263e+01
1.3667593629e+00 1.2041875575e+00 8.5725559785e+01
1.3667806635e+00 1.2047440257e+00 8.5492604637e+01
1.3678852403e+00 1.2047361498e+00 8.5709182595e+01
1.3675974708e+00 1.2047055062e+00 8.5665812056e+01
1.3673901402e+00 1.2053491840e+00 8.5358429222e+01
1.3671837839e+00 1.2048833401e+00 8.5510797038e+01
1.3667642539e+00 1.2046896858e+00 8.5512099311e+01
1.3674284450e+00 1.2044382096e+00 8.5748868601e+01
1.3670095152e+00 1.2043854671e+00 8.5688798432e+01
1.3666482493e+00 1.2040746498e+00 8.5752995177e+01
1.3675991996e+00 1.2046094353e+00 8.5707820645e+01
1.3671737918e+00 1.2045631499e+00 8.5644288420e+01
1.3674055808e+00 1.2047558835e+00 8.5606875308e+01
1.3681243445e+00 1.2051103226e+00 8.5594917016e+01
1.3671671378e+00 1.2045226362e+00 8.5660421158e+01
1.3688295618e+00 1.2048179154e+00 8.5863140102e+01
1.3677544210e+00 1.2048080027e+00 8.5652347320e+01
1.3676202029e+00 1.2046002248e+00 8.5715998830e+01
1.3683745977e+00 1.2049426297e+00 8.5715998830e+01
1.3675159105e+00 1.2049403749e+00 8.5550030677e+01
1.3665830635e+00 1.2042105785e+00 8.5680671652e+01
1.3674091899e+00 1.2047168967e+00 8.5624205977e+01
1.3671424460e+00 1.2049364705e+00 8.5480948116e+01
1.3673548769e+00 1.2048891362e+00 8.5540845348e+01
1.3670473631e+00 1.2045244929e+00 8.5636244374e+01
1.3678026978e+00 1.2052550575e+00 8.5473193743e+01
1.3664470268e+00 1.2043112437e+00 8.5610868632e+01
1.3670446385e+00 1.2042795955e+00 8.5741999846e+01
1.3669298719e+00 1.2043118231e+00 8.5705098038e+01
1.3675206985e+00 1.2049237938e+00 8.5557918903e+01
1.3669161553e+00 1.2045024099e+00 8.5620200517e+01
1.3672951273e+00 1.2043121039e+00 8.5777839170e+01
1.3671895260e+00 1.2045827918e+00 8.5638924077e+01
1.3680347213e+00 1.2045041160e+00 8.5842002498e+01
1.3680919827e+00 1.2049893606e+00 8.5640264545e+01
1.3676468290e+00 1.2040783209e+00 8.5956010662e+01
1.3668417410e+00 1.2036099832e+00 8.6003984904e+01
1.3671677331e+00 1.2042979981e+00 8.5758503511e+01
1.3668529448e+00 1.2044830805e+00 8.5616198710e+01
1.3667113028e+00 1.2046718880e+00 8.5509495142e+01
1.3665018473e+00 1.2046455185e+00 8.5480948116e+01
1.3670960208e+00 1.2045465858e+00 8.5636244374e+01
1.3669934235e+00 1.2040596145e+00 8.5829371268e+01
1.3669771883e+00 1.2050427659e+00 8.5406536345e+01
1.3677538894e+00 1.2044547456e+00 8.5807009535e+01
1.3679767175e+00 1.2045621198e+00 8.5804222683e+01
1.3676233190e+00 1.2045735233e+00 8.5728295409e+01
1.3672576500e+00 1.2047387194e+00 8.5585638475e+01
1.3674652721e+00 1.2047079848e+00 8.5638924077e+01
1.3675918879e+00 1.2044280663e+00 8.5786152992e+01
1.3684754110e+00 1.2051602713e+00 8.5641605425e+01
1.3669972486e+00 1.2045392323e+00 8.5620200517e+01
1.3660652762e+00 1.2046222517e+00 8.5409082233e+01
1.3684401527e+00 1.2043227586e+00 8.6009839094e+01
1.3673532489e+00 1.2045134056e+00 8.5701017353e+01
