# mp_msun mc_msun inclination_deg
1.5799936091e+00 2.0460037523e-01 8.8901763644e+01
1.5160021623e+00 1.9926454034e-01 8.8933600313e+01
1.5988319431e+00 2.0615384615e-01 8.8933600313e+01
1.4751622960e+00 1.9581988743e-01 8.8933600313e+01
1.5305081909e+00 2.0048030019e-01 8.8933600313e+01
1.5305081909e+00 2.0048030019e-01 8.8933600313e+01
1.4640190483e+00 1.9487429644e-01 8.8933600313e+01
1.6045720678e+00 2.0662664165e-01 8.8933600313e+01
1.6193650268e+00 2.0784240150e-01 8.8933600313e+01
1.6021111430e+00 2.0642401501e-01 8.8933600313e+01
1.5135891427e+00 1.9906191370e-01 8.8933600313e+01
1.6457500884e+00 2.1000375235e-01 8.8901763644e+01
1.5111505274e+00 1.9885928705e-01 8.8901763644e+01
1.6790043999e+00 2.1270544090e-01 8.8933600313e+01
1.5588508991e+00 2.0284427767e-01 8.8933600313e+01
1.4521123636e+00 1.9386116323e-01 8.8933600313e+01
1.4911053125e+00 1.9717073171e-01 8.8901763644e+01
1.6012911252e+00 2.0635647280e-01 8.8933600313e+01
1.5410144674e+00 2.0135834897e-01 8.8933600313e+01
1.5873730629e+00 2.0520825516e-01 8.8933600313e+01
1.4759593613e+00 1.9588742964e-01 8.8933600313e+01
1.5498962163e+00 2.0210131332e-01 8.8901763644e+01
1.7275869678e+00 2.1662288931e-01 8.8933600313e+01
1.5087670969e+00 1.9865666041e-01 8.8933600313e+01
1.5490855562e+00 2.0203377111e-01 8.8901763644e+01
1.5914622465e+00 2.0554596623e-01 8.8933600313e+01
1.5023192173e+00 1.9811632270e-01 8.8901763644e+01
1.5377517372e+00 2.0108818011e-01 8.8901763644e+01
1.5031481126e+00 1.9818386492e-01 8.8933600313e+01
1.6300779997e+00 2.0872045028e-01 8.8933600313e+01
1.5799936091e+00 2.0460037523e-01 8.8901763644e+01
1.4703830359e+00 1.9541463415e-01 8.8933600313e+01
1.4719755259e+00 1.9554971857e-01 8.8933600313e+01
1.4631981144e+00 1.9480675422e-01 8.8901763644e+01
1.5996515252e+00 2.0622138837e-01 8.8933600313e+01
1.4608145737e+00 1.9460412758e-01 8.8901763644e+01
1.6449516281e+00 2.0993621013e-01 8.8933600313e+01
1.5047527960e+00 1.9831894934e-01 8.8933600313e+01
1.6160736455e+00 2.0757223265e-01 8.8933600313e+01
1.6948365335e+00 2.1398874296e-01 8.8901763644e+01
1.6715087462e+00 2.1209756098e-01 8.8933600313e+01
1.4521123636e+00 1.9386116323e-01 8.8933600313e+01
1.5200268173e+00 1.9960225141e-01 8.8933600313e+01
1.5280872001e+00 2.0027767355e-01 8.8933600313e+01
1.5160021623e+00 1.9926454034e-01 8.8933600313e+01
1.4386588847e+00 1.9271294559e-01 8.8933600313e+01
1.4457759123e+00 1.9332082552e-01 8.8933600313e+01
1.6325536921e+00 2.0892307692e-01 8.8933600313e+01
1.4568709965e+00 1.9426641651e-01 8.8933600313e+01
1.4847104378e+00 1.9663039400e-01 8.8901763644e+01
1.7015608207e+00 2.1452908068e-01 8.8933600313e+01
1.4983376200e+00 1.9777861163e-01 8.8933600313e+01
1.5947362130e+00 2.0581613508e-01 8.8933600313e+01
1.5450619624e+00 2.0169606004e-01 8.8933600313e+01
1.4434022183e+00 1.9311819887e-01 8.8933600313e+01
