# mp_msun mc_msun inclination_deg
1.3597259032e+00 2.9511456119e-01 4.2162591624e+01
1.3220918436e+00 3.2666128757e-01 3.7223463082e+01
1.3565380555e+00 2.9830240883e-01 4.1610520941e+01
1.3576705904e+00 2.9289286665e-01 4.2466770879e+01
1.3397988864e+00 3.1066397967e-01 3.9532431336e+01
1.3585380964e+00 2.9816527634e-01 4.1672156596e+01
1.3181775034e+00 3.3334167038e-01 3.6403281433e+01
1.3573922617e+00 2.9598857383e-01 4.1979225611e+01
1.3551969329e+00 2.9179679426e-01 4.2587949220e+01
1.3724223172e+00 2.8171344516e-01 4.4665605604e+01
1.3550387128e+00 2.9768794568e-01 4.1672156596e+01
1.3122970272e+00 3.4093283667e-01 3.5496385311e+01
1.3551653122e+00 2.9811487510e-01 4.1610520941e+01
1.3408683784e+00 3.0703010689e-01 4.0044404150e+01
1.3305128366e+00 3.2447864838e-01 3.7627801605e+01
1.3195155166e+00 3.2923761462e-01 3.6883623438e+01
1.3367728856e+00 3.1570218928e-01 3.8819270819e+01
1.3486933423e+00 3.0539208799e-01 4.0424837350e+01
1.3462542599e+00 3.1014697211e-01 3.9725065922e+01
1.3774020327e+00 2.7341291095e-01 4.6330891337e+01
1.3559243315e+00 2.9780878888e-01 4.1672156596e+01
1.3472823633e+00 3.0564557119e-01 4.0361638471e+01
1.3365161666e+00 3.1263920206e-01 3.9209616704e+01
1.3550634945e+00 3.0017970163e-01 4.1301214588e+01
1.3603314281e+00 2.8912564003e-01 4.3129844120e+01
1.3713516417e+00 2.8157629287e-01 4.4665605604e+01
1.3612987630e+00 2.9223304863e-01 4.2648433916e+01
1.3709661273e+00 2.8055304651e-01 4.4840116396e+01
1.3199938209e+00 3.2991583104e-01 3.6815333031e+01
1.3371241579e+00 3.1575345684e-01 3.8819270819e+01
1.3122102191e+00 3.4091899968e-01 3.5496385311e+01
1.3347411048e+00 3.2286880028e-01 3.7895315384e+01
1.3752941920e+00 2.7763374255e-01 4.5475478919e+01
1.3671805493e+00 2.8609963794e-01 4.3784824630e+01
1.3313224487e+00 3.2291397927e-01 3.7828587835e+01
1.3504526911e+00 3.0081496038e-01 4.1114715695e+01
1.3702970560e+00 2.8046758928e-01 4.4840116396e+01
1.3615277270e+00 2.8747679871e-01 4.3428542796e+01
1.3446143844e+00 3.0172600935e-01 4.0864962808e+01
1.3357097826e+00 3.1606092630e-01 3.8753891859e+01
1.3355222950e+00 3.1655027274e-01 3.8688419826e+01
1.3657765028e+00 2.8453548054e-01 4.4021066352e+01
1.3250628216e+00 3.2253405928e-01 3.7761760052e+01
1.3425178933e+00 3.0819645416e-01 3.9916924225e+01
1.3485609347e+00 3.0537350258e-01 4.0424837350e+01
1.3491493649e+00 3.0106203249e-01 4.1052394741e+01
1.3525081856e+00 3.0152691321e-01 4.1052394741e+01
1.3786183589e+00 2.7184450714e-01 4.6669651402e+01
1.3674466901e+00 2.8789719408e-01 4.3488085082e+01
1.3183264560e+00 3.3087919459e-01 3.6678424848e+01
1.3445555171e+00 3.0942925073e-01 3.9789104373e+01
1.3146305555e+00 3.3794515132e-01 3.5847540860e+01
1.3560829947e+00 2.9040816060e-01 4.2829473775e+01
1.3554830840e+00 2.9533185959e-01 4.2040419906e+01
1.3800527717e+00 2.7403265857e-01 4.6274245586e+01
1.3688313913e+00 2.8736842382e-01 4.3606974452e+01
1.3663512471e+00 2.8225105350e-01 4.4432084283e+01
1.3577241227e+00 2.9062680378e-01 4.2829473775e+01
1.3695422283e+00 2.8434187899e-01 4.4138809789e+01
1.3654487493e+00 2.8657350740e-01 4.3666322088e+01
1.3403397435e+00 3.1319206819e-01 3.9209616704e+01
1.3513808768e+00 3.0094325410e-01 4.1114715695e+01
1.3380099778e+00 3.1285526469e-01 3.9209616704e+01
1.3537851865e+00 2.9833769282e-01 4.1548810542e+01
1.3629291040e+00 2.8874098933e-01 4.3249522172e+01
1.3643352159e+00 2.8713365238e-01 4.3547562209e+01
1.3532541629e+00 2.9826501094e-01 4.1548810542e+01
1.3656924188e+00 2.9131311302e-01 4.2889683325e+01
1.3661772815e+00 2.8026361938e-01 4.4782005661e+01
1.3509802925e+00 3.0753631020e-01 4.0171547472e+01
1.3638835794e+00 2.8778651386e-01 4.3428542796e+01
1.3370544373e+00 3.0978851293e-01 3.9596729835e+01
1.3303609444e+00 3.2221476245e-01 3.7895315384e+01
1.3797237455e+00 2.7516705856e-01 4.6047124329e+01
1.3534901186e+00 2.9506190613e-01 4.2040419906e+01
1.3441035572e+00 3.0842183338e-01 3.9916924225e+01
1.3780332868e+00 2.7705888108e-01 4.5647557220e+01
1.3709231503e+00 2.8250801012e-01 4.4490555382e+01
1.3490314775e+00 3.0409774120e-01 4.0613945168e+01
1.3448973567e+00 3.0621938763e-01 4.0234993931e+01
1.3522815367e+00 2.9410911034e-01 4.2162591624e+01
1.3728007902e+00 2.8143563775e-01 4.4723835478e+01
1.3683559614e+00 2.8250928101e-01 4.4432084283e+01
1.3406066019e+00 3.1126472453e-01 3.9468045285e+01
1.3570342322e+00 2.8905490243e-01 4.3069904944e+01
1.3730243707e+00 2.7492438382e-01 4.5933237803e+01
1.3588235741e+00 2.9944115156e-01 4.1487025055e+01
1.3685897235e+00 2.8524405431e-01 4.3962100673e+01
1.3614899056e+00 2.8676047485e-01 4.3547562209e+01
1.3505005859e+00 3.0298089989e-01 4.0802327906e+01
1.3630401947e+00 2.9361282001e-01 4.2466770879e+01
1.3727167298e+00 2.7855092172e-01 4.5245247087e+01
1.3423417493e+00 3.0817141202e-01 3.9916924225e+01
1.3445000766e+00 3.0847817818e-01 3.9916924225e+01
1.3522885725e+00 2.9772165923e-01 4.1610520941e+01
1.3676817252e+00 2.8444115414e-01 4.4079969303e+01
1.3607601925e+00 2.8809349500e-01 4.3309261622e+01
1.3612543667e+00 2.9222711911e-01 4.2648433916e+01
1.3544240655e+00 2.9558616625e-01 4.1979225611e+01
1.3583068172e+00 2.9492304674e-01 4.2162591624e+01
1.3507564515e+00 2.9875090167e-01 4.1425164134e+01
1.3725175580e+00 2.8010846555e-01 4.4956160484e+01
