# system filename eccentricity pb_days ps_s
J0218+4232 J0218_4232.txt 6.3000000000e-06 2.0288500000e+00 2.3230908259e-03
J0437-4715 J0437-4715.txt 1.9180000000e-05 5.7410400000e+00 5.7574501405e-03
J0453+1559 J0453_1559.txt 1.1251847000e-01 4.0724700000e+00 4.5781257153e-02
J0509+3801 J0509_3801.txt 5.8640900000e-01 3.7958000000e-01 7.6540375048e-02
J0514-4002A J0514-4002A.txt 8.8797650000e-01 1.8785180000e+01 4.9905678268e-03
J0641+0448 J0641_0448.txt 1.4545020000e-01 3.7307000000e+00 2.5035049069e-02
J0740+6620 J0740_6620.txt 5.0700000000e-06 4.7669400000e+00 2.8857363822e-03
J0751+1807 J0751_1807.txt 5.0000000000e-07 2.6314000000e-01 3.4787690724e-03
J0955-6150 J0955-6150.txt 1.1750575000e-01 2.4578400000e+01 1.9993602047e-03
J1012-4235 J1012-4235.txt 3.4572000000e-04 3.7972460000e+01 3.1011405995e-03
J1125-6014 J1125-6014.txt 6.1500000000e-07 8.7526000000e+00 2.6303814316e-03
J1141-6545 J1141-6545.txt 1.7187600000e-01 1.9765000000e-01 3.9385584876e-01
J1227-6208 J1227-6208.txt 1.1491800000e-03 6.7210200000e+00 3.4528002210e-02
J1528-3146 J1528-3146.txt 2.1370000000e-04 3.1803500000e+00 6.0823550879e-02
B1534+12 B1534_12.txt 2.7367740000e-01 4.2074000000e-01 3.7904631946e-02
J1543-5149 J1543-5149.txt 2.1330000000e-05 8.0607700000e+00 2.0569613744e-03
J1614-2230 J1614-2230.txt 1.3330000000e-06 8.6866200000e+00 3.1508076580e-03
J1713+0747 J1713_0747.txt 7.4940200000e-05 6.7825130000e+01 4.5701541513e-03
J1748-2446ap J1748-2446ap.txt 9.0000000000e-01 2.1388170000e+01 3.7447012477e-03
J1756-2251 J1756-2251.txt 1.8056940000e-01 3.1963000000e-01 2.8461647929e-02
J1757-1854 J1757-1854.txt 6.0581700000e-01 1.8354000000e-01 2.1497054903e-02
J1802-2124 J1802-2124.txt 2.4800000000e-06 6.9889000000e-01 1.2647661447e-02
J1807-2500B J1807-2500B.txt 7.4703319800e-01 9.9566700000e+00 4.1861847531e-03
J1829+2456 J1829_2456.txt 1.3914350000e-01 1.1760300000e+00 4.1010498688e-02
B1855+09 B1855_09.txt 2.1700000000e-05 1.2327170000e+01 5.3621028022e-03
J1856-0039 J1856-0039.txt 1.0632200000e-01 9.8510000000e-02 2.3391561167e-02
J1903+0327 J1903_0327.txt 4.3667840900e-01 9.5174120000e+01 2.1499134660e-03
J1906+0746 J1906_0746.txt 8.5298900000e-02 1.6599000000e-01 1.4407145944e-01
J1909-3744 J1909-3744.txt 1.1500000000e-07 1.5334500000e+00 2.9471053531e-03
J1910-5958A J1910-5958A.txt 8.2000000000e-07 8.3711000000e-01 3.2661913270e-03
J1913+1102 J1913_1102.txt 8.9527600000e-02 2.0625000000e-01 2.7285129604e-02
B1913+16 B1913_16.txt 6.1713400000e-01 3.2299000000e-01 5.9031877214e-02
J1918-0642 J1918-0642.txt 2.0340000000e-05 1.0913180000e+01 7.6458444835e-03
J1933-6211 J1933-6211.txt 1.2600000000e-06 1.2819410000e+01 3.5434354315e-03
J1943+2210 J1943_2210.txt 1.6000000000e-06 3.7205000000e-01 1.2870178509e-02
J1946+2052 J1946_2052.txt 6.3836300000e-02 7.8490000000e-02 1.6960075981e-02
J1946+3417 J1946_3417.txt 1.3449538900e-01 2.7019950000e+01 3.1701247444e-03
J1949+3106 J1949_3106.txt 4.3122000000e-05 1.9495400000e+00 1.3138187456e-02
J1950+2414 J1950_2414.txt 7.9811730000e-02 2.2191370000e+01 4.3047783039e-03
J2023+2853 J2023_2853.txt 1.3100000000e-05 7.1823000000e-01 1.1328877308e-02
J2043+1711 J2043_1711.txt 4.8900000000e-06 1.4822900000e+00 2.3798814343e-03
J2045+3633 J2045_3633.txt 1.7212447000e-02 3.2297840000e+01 3.1681662654e-02
J2053+4650 J2053_4650.txt 8.9000000000e-06 2.4525000000e+00 1.2554612565e-02
B2127+11C B2127_11C.txt 6.8139500000e-01 3.3528000000e-01 3.0529690124e-02
J2222-0137 J2222-0137.txt 3.8092000000e-04 2.4457600000e+00 3.2818089331e-02
J2234+0611 J2234_0611.txt 1.2927403500e-01 3.2001400000e+01 3.5765762866e-03
