# parameter edge_index edge_value
mp_msun 0 1.0000000000e+00
mp_msun 1 1.0500000000e+00
mp_msun 2 1.1000000000e+00
mp_msun 3 1.1500000000e+00
mp_msun 4 1.2000000000e+00
mp_msun 5 1.2500000000e+00
mp_msun 6 1.3000000000e+00
mp_msun 7 1.3500000000e+00
mp_msun 8 1.4000000000e+00
mp_msun 9 1.4500000000e+00
mp_msun 10 1.5000000000e+00
mp_msun 11 1.5500000000e+00
mp_msun 12 1.6000000000e+00
mp_msun 13 1.6500000000e+00
mp_msun 14 1.7000000000e+00
mp_msun 15 1.7500000000e+00
mp_msun 16 1.8000000000e+00
mp_msun 17 1.8500000000e+00
mp_msun 18 1.9000000000e+00
mp_msun 19 1.9500000000e+00
mp_msun 20 2.0000000000e+00
mp_msun 21 2.0500000000e+00
mp_msun 22 2.1000000000e+00
mp_msun 23 2.1500000000e+00
mp_msun 24 2.2000000000e+00
mp_msun 25 2.2500000000e+00
mp_msun 26 2.3000000000e+00
mp_msun 27 2.3500000000e+00
mp_msun 28 2.4000000000e+00
mp_msun 29 2.4500000000e+00
mp_msun 30 2.5000000000e+00
mp_msun 31 2.5500000000e+00
mp_msun 32 2.6000000000e+00
mp_msun 33 2.6500000000e+00
mp_msun 34 2.7000000000e+00
mp_msun 35 2.7500000000e+00
mp_msun 36 2.8000000000e+00
mp_msun 37 2.8500000000e+00
mp_msun 38 2.9000000000e+00
mc_msun 0 1.0000000000e-01
mc_msun 1 1.6388888889e-01
mc_msun 2 2.2777777778e-01
mc_msun 3 2.9166666667e-01
mc_msun 4 3.5555555556e-01
mc_msun 5 4.1944444444e-01
mc_msun 6 4.8333333333e-01
mc_msun 7 5.4722222222e-01
mc_msun 8 6.1111111111e-01
mc_msun 9 6.7500000000e-01
mc_msun 10 7.3888888889e-01
mc_msun 11 8.0277777778e-01
mc_msun 12 8.6666666667e-01
mc_msun 13 9.3055555556e-01
mc_msun 14 9.9444444444e-01
mc_msun 15 1.0583333333e+00
mc_msun 16 1.1222222222e+00
mc_msun 17 1.1861111111e+00
mc_msun 18 1.2500000000e+00
mc_msun 19 1.3138888889e+00
mc_msun 20 1.3777777778e+00
mc_msun 21 1.4416666667e+00
mc_msun 22 1.5055555556e+00
mc_msun 23 1.5694444444e+00
mc_msun 24 1.6333333333e+00
mc_msun 25 1.6972222222e+00
mc_msun 26 1.7611111111e+00
mc_msun 27 1.8250000000e+00
mc_msun 28 1.8888888889e+00
mc_msun 29 1.9527777778e+00
mc_msun 30 2.0166666667e+00
mc_msun 31 2.0805555556e+00
mc_msun 32 2.1444444444e+00
mc_msun 33 2.2083333333e+00
mc_msun 34 2.2722222222e+00
mc_msun 35 2.3361111111e+00
mc_msun 36 2.4000000000e+00
eccentricity 0 0.0000000000e+00
eccentricity 1 2.5000000000e-02
eccentricity 2 5.0000000000e-02
eccentricity 3 7.5000000000e-02
eccentricity 4 1.0000000000e-01
eccentricity 5 1.2500000000e-01
eccentricity 6 1.5000000000e-01
eccentricity 7 1.7500000000e-01
eccentricity 8 2.0000000000e-01
eccentricity 9 2.2500000000e-01
eccentricity 10 2.5000000000e-01
eccentricity 11 2.7500000000e-01
eccentricity 12 3.0000000000e-01
eccentricity 13 3.2500000000e-01
eccentricity 14 3.5000000000e-01
eccentricity 15 3.7500000000e-01
eccentricity 16 4.0000000000e-01
eccentricity 17 4.2500000000e-01
eccentricity 18 4.5000000000e-01
eccentricity 19 4.7500000000e-01
eccentricity 20 5.0000000000e-01
eccentricity 21 5.2500000000e-01
eccentricity 22 5.5000000000e-01
eccentricity 23 5.7500000000e-01
eccentricity 24 6.0000000000e-01
eccentricity 25 6.2500000000e-01
eccentricity 26 6.5000000000e-01
eccentricity 27 6.7500000000e-01
eccentricity 28 7.0000000000e-01
eccentricity 29 7.2500000000e-01
eccentricity 30 7.5000000000e-01
eccentricity 31 7.7500000000e-01
eccentricity 32 8.0000000000e-01
eccentricity 33 8.2500000000e-01
eccentricity 34 8.5000000000e-01
eccentricity 35 8.7500000000e-01
eccentricity 36 9.0000000000e-01
log10_pb_days 0 -3.0000000000e+00
log10_pb_days 1 -2.8333333333e+00
log10_pb_days 2 -2.6666666667e+00
log10_pb_days 3 -2.5000000000e+00
log10_pb_days 4 -2.3333333333e+00
log10_pb_days 5 -2.1666666667e+00
log10_pb_days 6 -2.0000000000e+00
log10_pb_days 7 -1.8333333333e+00
log10_pb_days 8 -1.6666666667e+00
log10_pb_days 9 -1.5000000000e+00
log10_pb_days 10 -1.3333333333e+00
log10_pb_days 11 -1.1666666667e+00
log10_pb_days 12 -1.0000000000e+00
log10_pb_days 13 -8.3333333333e-01
