# left_edge right_edge selected_fraction
# Marginal selected fraction.
0.0000000000e+00 2.5000000000e-02 2.3308920000e-01
2.5000000000e-02 5.0000000000e-02 3.0153600000e-01
5.0000000000e-02 7.5000000000e-02 3.3399000000e-01
7.5000000000e-02 1.0000000000e-01 3.5231040000e-01
1.0000000000e-01 1.2500000000e-01 3.7101960000e-01
1.2500000000e-01 1.5000000000e-01 3.8531520000e-01
1.5000000000e-01 1.7500000000e-01 3.9637080000e-01
1.7500000000e-01 2.0000000000e-01 4.0531320000e-01
2.0000000000e-01 2.2500000000e-01 4.1506200000e-01
2.2500000000e-01 2.5000000000e-01 4.2165000000e-01
2.5000000000e-01 2.7500000000e-01 4.2998040000e-01
2.7500000000e-01 3.0000000000e-01 4.3607520000e-01
3.0000000000e-01 3.2500000000e-01 4.4063280000e-01
3.2500000000e-01 3.5000000000e-01 4.4805960000e-01
3.5000000000e-01 3.7500000000e-01 4.5232560000e-01
3.7500000000e-01 4.0000000000e-01 4.5765720000e-01
4.0000000000e-01 4.2500000000e-01 4.6319760000e-01
4.2500000000e-01 4.5000000000e-01 4.6820880000e-01
4.5000000000e-01 4.7500000000e-01 4.7318760000e-01
4.7500000000e-01 5.0000000000e-01 4.7649600000e-01
5.0000000000e-01 5.2500000000e-01 4.8168360000e-01
5.2500000000e-01 5.5000000000e-01 4.8621960000e-01
5.5000000000e-01 5.7500000000e-01 4.9374000000e-01
5.7500000000e-01 6.0000000000e-01 4.9459680000e-01
6.0000000000e-01 6.2500000000e-01 4.9886640000e-01
6.2500000000e-01 6.5000000000e-01 5.0393160000e-01
6.5000000000e-01 6.7500000000e-01 5.0709960000e-01
6.7500000000e-01 7.0000000000e-01 5.1137280000e-01
7.0000000000e-01 7.2500000000e-01 5.1256800000e-01
7.2500000000e-01 7.5000000000e-01 5.1773040000e-01
7.5000000000e-01 7.7500000000e-01 5.1899760000e-01
7.7500000000e-01 8.0000000000e-01 5.2615080000e-01
8.0000000000e-01 8.2500000000e-01 5.2623000000e-01
8.2500000000e-01 8.5000000000e-01 5.3239680000e-01
8.5000000000e-01 8.7500000000e-01 5.3764560000e-01
8.7500000000e-01 9.0000000000e-01 5.4366840000e-01
