# left_edge right_edge selected_fraction
# Marginal selected fraction.
-3.0000000000e+00 -2.8333333333e+00 8.8772400000e-02
-2.8333333333e+00 -2.6666666667e+00 1.1554560000e-01
-2.6666666667e+00 -2.5000000000e+00 1.5745680000e-01
-2.5000000000e+00 -2.3333333333e+00 2.1351960000e-01
-2.3333333333e+00 -2.1666666667e+00 2.8404720000e-01
-2.1666666667e+00 -2.0000000000e+00 3.6472680000e-01
-2.0000000000e+00 -1.8333333333e+00 4.5547560000e-01
-1.8333333333e+00 -1.6666666667e+00 5.5092240000e-01
-1.6666666667e+00 -1.5000000000e+00 6.4870560000e-01
-1.5000000000e+00 -1.3333333333e+00 7.4640600000e-01
-1.3333333333e+00 -1.1666666667e+00 8.3846160000e-01
-1.1666666667e+00 -1.0000000000e+00 8.9337960000e-01
-1.0000000000e+00 -8.3333333333e-01 8.7243480000e-01
-8.3333333333e-01 -6.6666666667e-01 8.2751040000e-01
-6.6666666667e-01 -5.0000000000e-01 7.7589360000e-01
-5.0000000000e-01 -3.3333333333e-01 7.2183600000e-01
-3.3333333333e-01 -1.6666666667e-01 6.7463640000e-01
-1.6666666667e-01 0.0000000000e+00 6.2877240000e-01
0.0000000000e+00 1.6666666667e-01 5.8382640000e-01
1.6666666667e-01 3.3333333333e-01 5.4547200000e-01
3.3333333333e-01 5.0000000000e-01 5.1068520000e-01
5.0000000000e-01 6.6666666667e-01 4.7169000000e-01
6.6666666667e-01 8.3333333333e-01 4.4126280000e-01
8.3333333333e-01 1.0000000000e+00 4.0969440000e-01
1.0000000000e+00 1.1666666667e+00 3.8707560000e-01
1.1666666667e+00 1.3333333333e+00 3.6931680000e-01
1.3333333333e+00 1.5000000000e+00 3.4394400000e-01
1.5000000000e+00 1.6666666667e+00 3.2861520000e-01
1.6666666667e+00 1.8333333333e+00 3.1465800000e-01
1.8333333333e+00 2.0000000000e+00 2.9880720000e-01
2.0000000000e+00 2.1666666667e+00 2.8656000000e-01
2.1666666667e+00 2.3333333333e+00 2.7236880000e-01
2.3333333333e+00 2.5000000000e+00 2.5921800000e-01
2.5000000000e+00 2.6666666667e+00 2.4125040000e-01
2.6666666667e+00 2.8333333333e+00 2.2472280000e-01
2.8333333333e+00 3.0000000000e+00 2.0670480000e-01
