# left_edge right_edge selected_fraction
# Marginal selected fraction.
-3.0000000000e+00 -2.8458762498e+00 6.5155200000e-01
-2.8458762498e+00 -2.6917524996e+00 6.4920000000e-01
-2.6917524996e+00 -2.5376287495e+00 6.4447440000e-01
-2.5376287495e+00 -2.3835049993e+00 6.3116160000e-01
-2.3835049993e+00 -2.2293812491e+00 6.2163840000e-01
-2.2293812491e+00 -2.0752574989e+00 6.0586080000e-01
-2.0752574989e+00 -1.9211337487e+00 5.9043600000e-01
-1.9211337487e+00 -1.7670099986e+00 5.7317520000e-01
-1.7670099986e+00 -1.6128862484e+00 5.5221840000e-01
-1.6128862484e+00 -1.4587624982e+00 5.2941120000e-01
-1.4587624982e+00 -1.3046387480e+00 5.0815200000e-01
-1.3046387480e+00 -1.1505149978e+00 4.8645120000e-01
-1.1505149978e+00 -9.9639124765e-01 4.6733760000e-01
-9.9639124765e-01 -8.4226749747e-01 4.5022560000e-01
-8.4226749747e-01 -6.8814374729e-01 4.3393920000e-01
-6.8814374729e-01 -5.3401999711e-01 4.1743680000e-01
-5.3401999711e-01 -3.7989624693e-01 4.0008240000e-01
-3.7989624693e-01 -2.2577249675e-01 3.8314800000e-01
-2.2577249675e-01 -7.1648746567e-02 3.5133600000e-01
-7.1648746567e-02 8.2475003613e-02 3.1432320000e-01
8.2475003613e-02 2.3659875379e-01 2.5904400000e-01
2.3659875379e-01 3.9072250397e-01 1.8895920000e-01
3.9072250397e-01 5.4484625416e-01 1.2448080000e-01
5.4484625416e-01 6.9897000434e-01 6.8872800000e-02
