# left_edge right_edge selected_fraction
# Marginal selected fraction.
1.0000000000e-01 1.6388888889e-01 4.6043640000e-01
1.6388888889e-01 2.2777777778e-01 4.5695160000e-01
2.2777777778e-01 2.9166666667e-01 4.5582840000e-01
2.9166666667e-01 3.5555555556e-01 4.5766080000e-01
3.5555555556e-01 4.1944444444e-01 4.5459360000e-01
4.1944444444e-01 4.8333333333e-01 4.5698040000e-01
4.8333333333e-01 5.4722222222e-01 4.5618480000e-01
5.4722222222e-01 6.1111111111e-01 4.5299160000e-01
6.1111111111e-01 6.7500000000e-01 4.5054000000e-01
6.7500000000e-01 7.3888888889e-01 4.5434160000e-01
7.3888888889e-01 8.0277777778e-01 4.5275400000e-01
8.0277777778e-01 8.6666666667e-01 4.5481320000e-01
8.6666666667e-01 9.3055555556e-01 4.5453960000e-01
9.3055555556e-01 9.9444444444e-01 4.5622800000e-01
9.9444444444e-01 1.0583333333e+00 4.5470880000e-01
1.0583333333e+00 1.1222222222e+00 4.5257040000e-01
1.1222222222e+00 1.1861111111e+00 4.5318600000e-01
1.1861111111e+00 1.2500000000e+00 4.5330840000e-01
1.2500000000e+00 1.3138888889e+00 4.5396720000e-01
1.3138888889e+00 1.3777777778e+00 4.5325440000e-01
1.3777777778e+00 1.4416666667e+00 4.5592560000e-01
1.4416666667e+00 1.5055555556e+00 4.5531000000e-01
1.5055555556e+00 1.5694444444e+00 4.5417960000e-01
1.5694444444e+00 1.6333333333e+00 4.5579600000e-01
1.6333333333e+00 1.6972222222e+00 4.5429840000e-01
1.6972222222e+00 1.7611111111e+00 4.5200880000e-01
1.7611111111e+00 1.8250000000e+00 4.5349920000e-01
1.8250000000e+00 1.8888888889e+00 4.5313560000e-01
1.8888888889e+00 1.9527777778e+00 4.5288360000e-01
1.9527777778e+00 2.0166666667e+00 4.5237960000e-01
2.0166666667e+00 2.0805555556e+00 4.5520920000e-01
2.0805555556e+00 2.1444444444e+00 4.5304560000e-01
2.1444444444e+00 2.2083333333e+00 4.5429480000e-01
2.2083333333e+00 2.2722222222e+00 4.5379080000e-01
2.2722222222e+00 2.3361111111e+00 4.5045720000e-01
2.3361111111e+00 2.4000000000e+00 4.5232200000e-01
