# left_edge right_edge selected_fraction
# Marginal selected fraction.
1.0000000000e+00 1.0500000000e+00 3.9469080000e-01
1.0500000000e+00 1.1000000000e+00 4.0127240000e-01
1.1000000000e+00 1.1500000000e+00 4.0721560000e-01
1.1500000000e+00 1.2000000000e+00 4.1106500000e-01
1.2000000000e+00 1.2500000000e+00 4.1367560000e-01
1.2500000000e+00 1.3000000000e+00 4.1668520000e-01
1.3000000000e+00 1.3500000000e+00 4.2010140000e-01
1.3500000000e+00 1.4000000000e+00 4.2506800000e-01
1.4000000000e+00 1.4500000000e+00 4.2550880000e-01
1.4500000000e+00 1.5000000000e+00 4.3191560000e-01
1.5000000000e+00 1.5500000000e+00 4.3487960000e-01
1.5500000000e+00 1.6000000000e+00 4.3953460000e-01
1.6000000000e+00 1.6500000000e+00 4.4080000000e-01
1.6500000000e+00 1.7000000000e+00 4.4359300000e-01
1.7000000000e+00 1.7500000000e+00 4.4707000000e-01
1.7500000000e+00 1.8000000000e+00 4.4898140000e-01
1.8000000000e+00 1.8500000000e+00 4.4980600000e-01
1.8500000000e+00 1.9000000000e+00 4.5378840000e-01
1.9000000000e+00 1.9500000000e+00 4.5731480000e-01
1.9500000000e+00 2.0000000000e+00 4.5904000000e-01
2.0000000000e+00 2.0500000000e+00 4.6352780000e-01
2.0500000000e+00 2.1000000000e+00 4.6451580000e-01
2.1000000000e+00 2.1500000000e+00 4.6768880000e-01
2.1500000000e+00 2.2000000000e+00 4.7112780000e-01
2.2000000000e+00 2.2500000000e+00 4.7094540000e-01
2.2500000000e+00 2.3000000000e+00 4.7476440000e-01
2.3000000000e+00 2.3500000000e+00 4.7379540000e-01
2.3500000000e+00 2.4000000000e+00 4.7849600000e-01
2.4000000000e+00 2.4500000000e+00 4.7911160000e-01
2.4500000000e+00 2.5000000000e+00 4.8102300000e-01
2.5000000000e+00 2.5500000000e+00 4.8513460000e-01
2.5500000000e+00 2.6000000000e+00 4.8551460000e-01
2.6000000000e+00 2.6500000000e+00 4.8671160000e-01
2.6500000000e+00 2.7000000000e+00 4.8799600000e-01
2.7000000000e+00 2.7500000000e+00 4.9041660000e-01
2.7500000000e+00 2.8000000000e+00 4.9143880000e-01
2.8000000000e+00 2.8500000000e+00 4.9330460000e-01
2.8500000000e+00 2.9000000000e+00 4.9543260000e-01
